survey_reference,severe_dry_mo,extreme_dry_mo,exceptional_dry_mo,mean_spei,median_spei,max_spei,min_spei,std_spei,spei_district_code,nss_state_name,nss_district_code,district_name,spei_state_name,nss_state_code,NSS_code,nss_district_code19
201807-201906,1.0,6.0,0.0,-1.2472229166666666,-1.6320000000000001,0.30701,-1.8527,0.7343441706982136,25,Andhra Pradesh,12,anantapur,ANDHRA PRADESH,28,281,2812
201807-201812,1.0,2.0,0.0,-0.9450791666666666,-1.29291,0.30701,-1.7612,0.9233918702393729,25,Andhra Pradesh,12,anantapur,ANDHRA PRADESH,28,281,2812
201901-201906,0.0,4.0,0.0,-1.5493666666666666,-1.70315,-1.1016,-1.8527,0.3385622818133566,25,Andhra Pradesh,12,anantapur,ANDHRA PRADESH,28,281,2812
201807-201906,4.0,1.0,4.0,-1.459325416666667,-1.4304000000000001,-0.083015,-2.2041,0.63978020867773,97,Andhra Pradesh,13,chittoor,ANDHRA PRADESH,28,281,2813
201807-201812,1.0,0.0,3.0,-1.3582508333333336,-1.68025,-0.083015,-2.0977,0.8632073137805117,97,Andhra Pradesh,13,chittoor,ANDHRA PRADESH,28,281,2813
201901-201906,3.0,1.0,1.0,-1.5603999999999998,-1.4304000000000001,-1.2297,-2.2041,0.36173987338970526,97,Andhra Pradesh,13,chittoor,ANDHRA PRADESH,28,281,2813
201807-201906,0.0,0.0,0.0,0.120625,-0.08952999999999998,1.7464,-1.2147,1.173731183545565,131,Andhra Pradesh,4,east godavari,ANDHRA PRADESH,28,281,2804
201807-201812,0.0,0.0,0.0,0.46803,0.81284,1.7464,-1.2147,1.3637817009331075,131,Andhra Pradesh,4,east godavari,ANDHRA PRADESH,28,281,2804
201901-201906,0.0,0.0,0.0,-0.22677999999999998,-0.493185,1.3458,-1.0592,0.9387553841336944,131,Andhra Pradesh,4,east godavari,ANDHRA PRADESH,28,281,2804
201807-201906,0.0,1.0,1.0,-0.37137250000000005,-0.4701,1.0097,-2.1035,0.9648977979711352,156,Andhra Pradesh,7,guntur,ANDHRA PRADESH,28,281,2807
201807-201812,0.0,0.0,1.0,-0.335085,-0.12618000000000001,1.0097,-2.1035,1.199569015017477,156,Andhra Pradesh,7,guntur,ANDHRA PRADESH,28,281,2807
