nss_state_name,nss_district_code,district_name,spei_state_name,spei_district_code,nss_state_code,NSS_code,nss_district_code19
Andaman & Nicobar Islands,1,nicobars,ANDAMAN & NICOBAR,268,35,351,3501
Andaman & Nicobar Islands,2,north & middle andaman,ANDAMAN & NICOBAR,272,35,351,3502
Andaman & Nicobar Islands,3,south andaman,ANDAMAN & NICOBAR,347,35,351,3503
Andhra Pradesh,12,anantapur,ANDHRA PRADESH,25,28,281,2812
Andhra Pradesh,13,chittoor,ANDHRA PRADESH,97,28,281,2813
Andhra Pradesh,4,east godavari,ANDHRA PRADESH,131,28,281,2804
Andhra Pradesh,7,guntur,ANDHRA PRADESH,156,28,281,2807
Andhra Pradesh,10,kadapa,Andhra Pradesh,100,28,281,2810
Andhra Pradesh,6,krishna,ANDHRA PRADESH,228,28,281,2806
Andhra Pradesh,11,kurnool,ANDHRA PRADESH,230,28,281,2811
Andhra Pradesh,8,prakasam,ANDHRA PRADESH,288,28,281,2808
Andhra Pradesh,9,sri potti sriramulu nellore,ANDHRA PRADESH,266,28,281,2809
Andhra Pradesh,1,srikakulam,ANDHRA PRADESH,352,28,281,2801
Andhra Pradesh,3,visakhapatnam,ANDHRA PRADESH,379,28,281,2803
Andhra Pradesh,2,vizianagaram,ANDHRA PRADESH,380,28,281,2802
Andhra Pradesh,5,west godavari,ANDHRA PRADESH,385,28,281,2805
Arunachal Pradesh,16,anjaw,ARUNACHAL PRADESH,448,12,121,1216
Arunachal Pradesh,9,changlang,ARUNACHAL PRADESH,470,12,121,1209
Arunachal Pradesh,13,dibang valley,ARUNACHAL PRADESH,475,12,121,1213
Arunachal Pradesh,3,east kameng,ARUNACHAL PRADESH,477,12,121,1203
Arunachal Pradesh,7,east siang,ARUNACHAL PRADESH,666,12,121,1207
Arunachal Pradesh,12,kurung kumey,ARUNACHAL PRADESH,520,12,121,1212
Arunachal Pradesh,15,lohit,ARUNACHAL PRADESH,524,12,121,1215
Arunachal Pradesh,14,lower dibang valley,ARUNACHAL PRADESH,525,12,121,1214
Arunachal Pradesh,11,lower subansiri,ARUNACHAL PRADESH,624,12,121,1211
Arunachal Pradesh,4,papum pare,ARUNACHAL PRADESH,559,12,121,1204
Arunachal Pradesh,1,tawang,ARUNACHAL PRADESH,599,12,121,1201
Arunachal Pradesh,10,tirap,ARUNACHAL PRADESH,602,12,121,1210
Arunachal Pradesh,8,upper siang,ARUNACHAL PRADESH,604,12,121,1208
Arunachal Pradesh,5,upper subansiri,ARUNACHAL PRADESH,605,12,121,1205
